Source,Gmag,BPmag,RPmag,Dist,Teff,Rad,Lum-Flame,Mass-Flame,Age-Flame
167912678447884288,13.386558,13.795595,12.777604,781.2686,5753.865,1.7634,3.4393712999999995,1.14,6.67
3028380998040924928,14.090128,14.365312,13.636462,4097.928,6714.283,4.793,22.33381,1.966,0.98
3378803527791744,13.427869,13.803607,12.887428,545.3281,5694.9580000000005,1.0853,1.0144833,0.941,9.326
129191448033355904,13.745995,14.248645000000002,13.081326,420.8997,5669.4697,0.9047,0.812541,0.96,5.193
3107257316513068160,12.203734,12.505286,11.727094,1963.5381,7206.267,5.4771,40.94497,2.221,0.823
791962458664975232,15.417463,16.51598,14.366442,180.57,3767.0605,0.4869,0.0419895999999999,0.526,0.251
446272566920989824,13.652629999999998,14.05689,13.05984,2864.8872,15001.315,3.4941,442.71027,4.408,
3724952366190574080,14.148278,15.614093,12.955939,105.094,3431.2783,0.7147,0.06336651,0.5760000000000001,8.835
181540712756695040,13.81045,14.365138,13.089969,1198.7449,6661.195,2.5504,11.241003,1.6669999999999998,1.626
3872143575484011392,15.327997,16.355864,14.322013,224.6888,3915.7754,0.5705,0.06034752,0.5760000000000001,2.807
39096125223392000,14.760085,15.167859,14.173737,1163.2489,6572.223000000001,1.2613,2.8678875,1.296,0.908
120723941484718976,13.374365,14.161964,12.503279,521.3572,5322.371999999999,2.1265,3.343605,1.157,6.541
181106229567825664,14.508023,14.938398,13.892139000000002,759.7639,5872.811,1.0163,1.7741764,1.028,8.249
152436708688281728,14.974633,16.129524,13.919823,2149.62,5269.2880000000005,6.6857,102.52527,2.802,0.4539999999999999
3438229042526850560,14.545074,15.692509,13.481203,112.8296,3711.6108,0.4751,0.038333207,0.51,2.208
39914063092115584,12.807926,13.574156,11.955256,1320.0814,4648.5464,7.4902,36.7616,2.803,0.455
207178643859625728,15.52757,15.804132999999998,15.073565,4353.7390000000005,11836.131,2.0328,76.80190999999999,2.911,
152829028180708480,15.205901999999998,16.151298999999998,14.251846,1902.2708,5095.7534,4.1743,11.996481,1.7,1.883
1970149537903814400,15.435827,16.479103,14.423192000000002,9724.513,5952.6934,20.1426,404.58374,3.256,0.306
2116863318617538944,11.534637,11.605514,11.38212,785.9304,8455.94,1.7103,13.550510999999998,1.848,0.447
169967493884701056,14.060141,14.53546,13.395854,977.4014,5774.6875,1.8108,4.8787785,1.274,4.426
509460950423821056,14.221396,14.421283,13.876423,3569.5933,10102.1455,2.8318,35.34404,2.359,0.203
43086596517641088,12.800937,13.201567,12.222631,650.9532,6371.7480000000005,1.7753,4.880563700000001,1.371,2.724
430720833946064384,12.990679,13.17906,12.654151,3751.6316,13064.553999999998,4.4185,336.46625,3.899,
1967148042949230976,11.42867,14.190285,9.985383,2675.463,3347.7395,138.0156,546.9602,1.107,8.437000000000001
