REF_DATE,GEO,DGUID,Type of structure,Type of unit,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,POP
2001,"Cape Breton, Nova Scotia",2011S0504225,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3823943,9.1.1,359.0,,,,0,112031.0
2001,"Cape Breton, Nova Scotia",2011S0504225,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3824077,9.1.2,409.0,,,,0,112031.0
2001,"Cape Breton, Nova Scotia",2011S0504225,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3824211,9.1.3,517.0,,,,0,112031.0
2001,"Cape Breton, Nova Scotia",2011S0504225,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3824345,9.1.4,619.0,,,,0,112031.0
2001,"Cape Breton, Nova Scotia",2011S0504225,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824667,9.4.2,449.0,,,,0,112031.0
2001,"Cape Breton, Nova Scotia",2011S0504225,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824855,9.4.3,546.0,,,,0,112031.0
2001,"Cape Breton, Nova Scotia",2011S0504225,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3825043,9.4.4,685.0,,,,0,112031.0
2001,"Halifax, Nova Scotia",2011S0503205,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822817,10.3.1,508.0,,,,0,391796.0
2001,"Halifax, Nova Scotia",2011S0503205,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3822951,10.3.2,554.0,,,,0,391796.0
2001,"Halifax, Nova Scotia",2011S0503205,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823085,10.3.3,674.0,,,,0,391796.0
2001,"Halifax, Nova Scotia",2011S0503205,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823219,10.3.4,867.0,,,,0,391796.0
2001,"Halifax, Nova Scotia",2011S0503205,Row structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823755,10.2.4,841.0,,,,0,391796.0
2001,"Halifax, Nova Scotia",2011S0503205,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3823889,10.1.1,508.0,,,,0,391796.0
2001,"Halifax, Nova Scotia",2011S0503205,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3824023,10.1.2,554.0,,,,0,391796.0
2001,"Halifax, Nova Scotia",2011S0503205,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3824157,10.1.3,673.0,,,,0,391796.0
2001,"Halifax, Nova Scotia",2011S0503205,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3824291,10.1.4,869.0,,,,0,391796.0
2001,"Halifax, Nova Scotia",2011S0503205,Apartment structures of six units and over,Bachelor units,Dollars,81,units,0,v3824425,10.4.1,516.0,,,,0,391796.0
2001,"Halifax, Nova Scotia",2011S0503205,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824613,10.4.2,559.0,,,,0,391796.0
2001,"Halifax, Nova Scotia",2011S0503205,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824801,10.4.3,679.0,,,,0,391796.0
2001,"Halifax, Nova Scotia",2011S0503205,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3824989,10.4.4,863.0,,,,0,391796.0
2001,"Kentville, Nova Scotia",2011S0504210,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822946,11.3.1,355.0,,,,0,25787.0
2001,"Kentville, Nova Scotia",2011S0504210,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3823080,11.3.2,430.0,,,,0,25787.0
2001,"Kentville, Nova Scotia",2011S0504210,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823214,11.3.3,535.0,,,,0,25787.0
2001,"Kentville, Nova Scotia",2011S0504210,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823348,11.3.4,816.0,,,,0,25787.0
2001,"Kentville, Nova Scotia",2011S0504210,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3824018,11.1.1,355.0,,,,0,25787.0
2001,"Kentville, Nova Scotia",2011S0504210,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3824152,11.1.2,430.0,,,,0,25787.0
2001,"Kentville, Nova Scotia",2011S0504210,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3824286,11.1.3,534.0,,,,0,25787.0
2001,"Kentville, Nova Scotia",2011S0504210,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3824420,11.1.4,804.0,,,,0,25787.0
2001,"Kentville, Nova Scotia",2011S0504210,Apartment structures of six units and over,Bachelor units,Dollars,81,units,0,v3824608,11.4.1,358.0,,,,0,25787.0
2001,"Kentville, Nova Scotia",2011S0504210,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824796,11.4.2,442.0,,,,0,25787.0
2001,"Kentville, Nova Scotia",2011S0504210,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824984,11.4.3,538.0,,,,0,25787.0
2001,"Kentville, Nova Scotia",2011S0504210,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3825172,11.4.4,740.0,,,,0,25787.0
2001,"New Glasgow, Nova Scotia",2011S0504220,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822914,13.3.1,331.0,,,,0,37662.0
2001,"New Glasgow, Nova Scotia",2011S0504220,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3823048,13.3.2,424.0,,,,0,37662.0
2001,"New Glasgow, Nova Scotia",2011S0504220,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823182,13.3.3,504.0,,,,0,37662.0
2001,"New Glasgow, Nova Scotia",2011S0504220,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823316,13.3.4,541.0,,,,0,37662.0
2001,"New Glasgow, Nova Scotia",2011S0504220,Row structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823852,13.2.4,550.0,,,,0,37662.0
2001,"New Glasgow, Nova Scotia",2011S0504220,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3823986,13.1.1,331.0,,,,0,37662.0
2001,"New Glasgow, Nova Scotia",2011S0504220,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3824120,13.1.2,422.0,,,,0,37662.0
2001,"New Glasgow, Nova Scotia",2011S0504220,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3824254,13.1.3,505.0,,,,0,37662.0
2001,"New Glasgow, Nova Scotia",2011S0504220,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3824388,13.1.4,524.0,,,,0,37662.0
2001,"New Glasgow, Nova Scotia",2011S0504220,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824757,13.4.2,429.0,,,,0,37662.0
2001,"New Glasgow, Nova Scotia",2011S0504220,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824945,13.4.3,517.0,,,,0,37662.0
2001,"Truro, Nova Scotia",2011S0504215,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822937,14.3.1,329.0,,,,0,45442.0
