"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823390","169.2.1","","F","","","0"
"2015","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823390","169.2.1","","F","","","0"
"2016","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823390","169.2.1","","F","","","0"
"2017","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823390","169.2.1","","F","","","0"
"2018","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823390","169.2.1","","F","","","0"
"2019","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823390","169.2.1","","F","","","0"
"2020","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823390","169.2.1","","F","","","0"
"2021","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823390","169.2.1","","F","","","0"
"2022","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823390","169.2.1","","F","","","0"
"2023","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823390","169.2.1","","F","","","0"
"2024","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823390","169.2.1","","F","","","0"
"2010","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823524","169.2.2","650","","","","0"
"2011","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823524","169.2.2","642","","","","0"
"2012","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823524","169.2.2","677","","","","0"
"2013","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823524","169.2.2","591","","","","0"
"2014","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823524","169.2.2","676","","","","0"
"2015","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823524","169.2.2","706","","","","0"
"2016","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823524","169.2.2","674","","","","0"
"2017","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823524","169.2.2","","F","","","0"
"2018","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823524","169.2.2","","F","","","0"
"2019","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823524","169.2.2","","F","","","0"
"2020","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823524","169.2.2","","F","","","0"
"2021","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823524","169.2.2","1364","","","","0"
"2022","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823524","169.2.2","1441","","","","0"
"2023","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823524","169.2.2","1686","","","","0"
"2024","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823524","169.2.2","","F","","","0"
"2010","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823658","169.2.3","861","","","","0"
"2011","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823658","169.2.3","862","","","","0"
"2012","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823658","169.2.3","867","","","","0"
"2013","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823658","169.2.3","870","","","","0"
"2014","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823658","169.2.3","875","","","","0"
"2015","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823658","169.2.3","933","","","","0"
"2016","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823658","169.2.3","976","","","","0"
"2017","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823658","169.2.3","1055","","","","0"
"2018","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823658","169.2.3","1125","","","","0"
"2019","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823658","169.2.3","1155","","","","0"
"2020","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823658","169.2.3","1172","","","","0"
