"REF_DATE","GEO","DGUID","Economic family type","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Calgary, Alberta","2021S0503825","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432751","19.14.1.4","61500","D","","","0"
"2017","Calgary, Alberta","2021S0503825","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432751","19.14.1.4","57700","D","","","0"
"2018","Calgary, Alberta","2021S0503825","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432751","19.14.1.4","51000","D","","","0"
"2019","Calgary, Alberta","2021S0503825","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432751","19.14.1.4","61800","D","","","0"
"2020","Calgary, Alberta","2021S0503825","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432751","19.14.1.4","50100","D","","","0"
"2021","Calgary, Alberta","2021S0503825","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432751","19.14.1.4","51200","E","","","0"
"2022","Calgary, Alberta","2021S0503825","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432751","19.14.1.4","58300","C","","","0"
"2023","Calgary, Alberta","2021S0503825","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432751","19.14.1.4","53200","C","","","0"
"2000","Edmonton, Alberta","2021S0503835","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433171","20.7.1.4","100300","C","","","0"
"2001","Edmonton, Alberta","2021S0503835","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433171","20.7.1.4","113100","C","","","0"
"2002","Edmonton, Alberta","2021S0503835","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433171","20.7.1.4","105200","C","","","0"
"2003","Edmonton, Alberta","2021S0503835","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433171","20.7.1.4","111900","C","","","0"
"2004","Edmonton, Alberta","2021S0503835","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433171","20.7.1.4","109700","C","","","0"
"2005","Edmonton, Alberta","2021S0503835","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433171","20.7.1.4","134100","C","","","0"
"2006","Edmonton, Alberta","2021S0503835","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433171","20.7.1.4","138000","C","","","0"
"2007","Edmonton, Alberta","2021S0503835","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433171","20.7.1.4","136700","C","","","0"
"2008","Edmonton, Alberta","2021S0503835","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433171","20.7.1.4","127000","C","","","0"
"2009","Edmonton, Alberta","2021S0503835","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433171","20.7.1.4","143800","C","","","0"
"2010","Edmonton, Alberta","2021S0503835","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433171","20.7.1.4","142600","C","","","0"
"2011","Edmonton, Alberta","2021S0503835","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433171","20.7.1.4","131800","C","","","0"
"2012","Edmonton, Alberta","2021S0503835","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433171","20.7.1.4","147900","D","","","0"
"2013","Edmonton, Alberta","2021S0503835","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433171","20.7.1.4","135500","D","","","0"
"2014","Edmonton, Alberta","2021S0503835","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433171","20.7.1.4","122200","C","","","0"
"2015","Edmonton, Alberta","2021S0503835","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433171","20.7.1.4","152200","D","","","0"
"2016","Edmonton, Alberta","2021S0503835","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433171","20.7.1.4","131900","C","","","0"
"2017","Edmonton, Alberta","2021S0503835","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433171","20.7.1.4","133200","D","","","0"
"2018","Edmonton, Alberta","2021S0503835","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433171","20.7.1.4","142700","C","","","0"
"2019","Edmonton, Alberta","2021S0503835","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433171","20.7.1.4","134200","D","","","0"
"2020","Edmonton, Alberta","2021S0503835","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433171","20.7.1.4","138900","C","","","0"
"2021","Edmonton, Alberta","2021S0503835","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433171","20.7.1.4","138400","C","","","0"
"2022","Edmonton, Alberta","2021S0503835","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433171","20.7.1.4","130700","B","","","0"
"2023","Edmonton, Alberta","2021S0503835","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433171","20.7.1.4","147900","C","","","0"
"2000","Edmonton, Alberta","2021S0503835","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433231","20.8.1.4","109000","C","","","0"
"2001","Edmonton, Alberta","2021S0503835","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433231","20.8.1.4","118100","C","","","0"
"2002","Edmonton, Alberta","2021S0503835","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433231","20.8.1.4","115800","C","","","0"
"2003","Edmonton, Alberta","2021S0503835","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433231","20.8.1.4","134300","C","","","0"
"2004","Edmonton, Alberta","2021S0503835","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433231","20.8.1.4","135600","C","","","0"
"2005","Edmonton, Alberta","2021S0503835","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433231","20.8.1.4","137400","C","","","0"
"2006","Edmonton, Alberta","2021S0503835","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433231","20.8.1.4","138800","C","","","0"
"2007","Edmonton, Alberta","2021S0503835","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433231","20.8.1.4","148800","C","","","0"
"2008","Edmonton, Alberta","2021S0503835","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433231","20.8.1.4","140800","C","","","0"
"2009","Edmonton, Alberta","2021S0503835","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433231","20.8.1.4","134300","C","","","0"
"2010","Edmonton, Alberta","2021S0503835","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433231","20.8.1.4","149200","C","","","0"
"2011","Edmonton, Alberta","2021S0503835","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433231","20.8.1.4","153500","C","","","0"
"2012","Edmonton, Alberta","2021S0503835","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433231","20.8.1.4","158100","C","","","0"
"2013","Edmonton, Alberta","2021S0503835","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433231","20.8.1.4","166400","C","","","0"
"2014","Edmonton, Alberta","2021S0503835","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433231","20.8.1.4","148400","C","","","0"
"2015","Edmonton, Alberta","2021S0503835","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433231","20.8.1.4","153400","C","","","0"
"2016","Edmonton, Alberta","2021S0503835","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433231","20.8.1.4","163900","B","","","0"
"2017","Edmonton, Alberta","2021S0503835","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433231","20.8.1.4","166500","C","","","0"
"2018","Edmonton, Alberta","2021S0503835","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433231","20.8.1.4","170800","C","","","0"
"2019","Edmonton, Alberta","2021S0503835","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433231","20.8.1.4","161200","D","","","0"
"2020","Edmonton, Alberta","2021S0503835","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433231","20.8.1.4","155000","D","","","0"
"2021","Edmonton, Alberta","2021S0503835","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433231","20.8.1.4","157300","D","","","0"
"2022","Edmonton, Alberta","2021S0503835","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433231","20.8.1.4","159800","B","","","0"
"2023","Edmonton, Alberta","2021S0503835","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433231","20.8.1.4","169600","B","","","0"
"2000","Edmonton, Alberta","2021S0503835","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433291","20.9.1.4","153500","C","","","0"
"2001","Edmonton, Alberta","2021S0503835","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433291","20.9.1.4","150900","C","","","0"
"2002","Edmonton, Alberta","2021S0503835","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433291","20.9.1.4","159500","D","","","0"
"2003","Edmonton, Alberta","2021S0503835","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433291","20.9.1.4","148900","C","","","0"
"2004","Edmonton, Alberta","2021S0503835","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433291","20.9.1.4","169700","D","","","0"
"2005","Edmonton, Alberta","2021S0503835","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433291","20.9.1.4","214600","C","","","0"
"2006","Edmonton, Alberta","2021S0503835","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433291","20.9.1.4","203500","D","","","0"
"2007","Edmonton, Alberta","2021S0503835","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433291","20.9.1.4","228700","D","","","0"
"2008","Edmonton, Alberta","2021S0503835","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433291","20.9.1.4","231400","C","","","0"
"2009","Edmonton, Alberta","2021S0503835","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433291","20.9.1.4","219400","C","","","0"
"2010","Edmonton, Alberta","2021S0503835","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433291","20.9.1.4","233600","D","","","0"
"2011","Edmonton, Alberta","2021S0503835","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433291","20.9.1.4","202400","D","","","0"
"2012","Edmonton, Alberta","2021S0503835","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433291","20.9.1.4","213600","C","","","0"
"2013","Edmonton, Alberta","2021S0503835","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433291","20.9.1.4","215800","D","","","0"
"2014","Edmonton, Alberta","2021S0503835","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433291","20.9.1.4","187300","E","","","0"
"2015","Edmonton, Alberta","2021S0503835","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433291","20.9.1.4","216300","D","","","0"
"2016","Edmonton, Alberta","2021S0503835","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433291","20.9.1.4","221000","D","","","0"
"2017","Edmonton, Alberta","2021S0503835","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433291","20.9.1.4","210600","D","","","0"
"2018","Edmonton, Alberta","2021S0503835","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433291","20.9.1.4","193200","D","","","0"
"2019","Edmonton, Alberta","2021S0503835","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433291","20.9.1.4","223200","D","","","0"
"2020","Edmonton, Alberta","2021S0503835","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433291","20.9.1.4","204300","C","","","0"
"2021","Edmonton, Alberta","2021S0503835","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433291","20.9.1.4","220500","E","","","0"
"2022","Edmonton, Alberta","2021S0503835","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433291","20.9.1.4","195800","C","","","0"
"2023","Edmonton, Alberta","2021S0503835","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433291","20.9.1.4","203700","C","","","0"
"2000","Edmonton, Alberta","2021S0503835","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433351","20.10.1.4","44500","E","","","0"
"2001","Edmonton, Alberta","2021S0503835","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433351","20.10.1.4","52800","D","","","0"
"2002","Edmonton, Alberta","2021S0503835","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433351","20.10.1.4","57300","D","","","0"
"2003","Edmonton, Alberta","2021S0503835","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433351","20.10.1.4","63100","D","","","0"
"2004","Edmonton, Alberta","2021S0503835","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433351","20.10.1.4","70300","D","","","0"
"2005","Edmonton, Alberta","2021S0503835","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433351","20.10.1.4","56800","D","","","0"
"2006","Edmonton, Alberta","2021S0503835","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433351","20.10.1.4","43600","E","","","0"
"2007","Edmonton, Alberta","2021S0503835","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433351","20.10.1.4","60100","E","","","0"
"2008","Edmonton, Alberta","2021S0503835","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433351","20.10.1.4","58200","E","","","0"
"2009","Edmonton, Alberta","2021S0503835","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433351","20.10.1.4","65800","D","","","0"
"2010","Edmonton, Alberta","2021S0503835","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433351","20.10.1.4","77400","E","","","0"
"2011","Edmonton, Alberta","2021S0503835","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433351","20.10.1.4","76900","D","","","0"
"2012","Edmonton, Alberta","2021S0503835","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433351","20.10.1.4","76100","E","","","0"
"2013","Edmonton, Alberta","2021S0503835","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433351","20.10.1.4","63100","E","","","0"
"2014","Edmonton, Alberta","2021S0503835","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433351","20.10.1.4","","F","","","0"
"2015","Edmonton, Alberta","2021S0503835","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433351","20.10.1.4","57200","E","","","0"
"2016","Edmonton, Alberta","2021S0503835","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433351","20.10.1.4","97300","E","","","0"
"2017","Edmonton, Alberta","2021S0503835","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433351","20.10.1.4","87300","E","","","0"
"2018","Edmonton, Alberta","2021S0503835","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433351","20.10.1.4","79600","D","","","0"
"2019","Edmonton, Alberta","2021S0503835","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433351","20.10.1.4","85200","E","","","0"
"2020","Edmonton, Alberta","2021S0503835","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433351","20.10.1.4","97600","D","","","0"
"2021","Edmonton, Alberta","2021S0503835","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433351","20.10.1.4","63000","E","","","0"
"2022","Edmonton, Alberta","2021S0503835","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433351","20.10.1.4","64800","D","","","0"
"2023","Edmonton, Alberta","2021S0503835","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433351","20.10.1.4","62100","D","","","0"
"2000","Edmonton, Alberta","2021S0503835","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433411","20.11.1.4","86300","D","","","0"
"2001","Edmonton, Alberta","2021S0503835","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433411","20.11.1.4","81200","D","","","0"
"2002","Edmonton, Alberta","2021S0503835","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433411","20.11.1.4","73100","D","","","0"
"2003","Edmonton, Alberta","2021S0503835","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433411","20.11.1.4","93300","D","","","0"
"2004","Edmonton, Alberta","2021S0503835","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433411","20.11.1.4","87300","D","","","0"
"2005","Edmonton, Alberta","2021S0503835","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433411","20.11.1.4","97200","D","","","0"
"2006","Edmonton, Alberta","2021S0503835","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433411","20.11.1.4","107000","D","","","0"
"2007","Edmonton, Alberta","2021S0503835","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433411","20.11.1.4","119600","D","","","0"
"2008","Edmonton, Alberta","2021S0503835","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433411","20.11.1.4","112000","D","","","0"
"2009","Edmonton, Alberta","2021S0503835","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433411","20.11.1.4","120500","D","","","0"
"2010","Edmonton, Alberta","2021S0503835","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433411","20.11.1.4","114000","D","","","0"
"2011","Edmonton, Alberta","2021S0503835","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433411","20.11.1.4","95700","D","","","0"
"2012","Edmonton, Alberta","2021S0503835","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433411","20.11.1.4","121900","D","","","0"
"2013","Edmonton, Alberta","2021S0503835","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433411","20.11.1.4","122200","D","","","0"
"2014","Edmonton, Alberta","2021S0503835","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433411","20.11.1.4","129500","D","","","0"
"2015","Edmonton, Alberta","2021S0503835","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433411","20.11.1.4","140100","E","","","0"
"2016","Edmonton, Alberta","2021S0503835","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433411","20.11.1.4","132700","D","","","0"
"2017","Edmonton, Alberta","2021S0503835","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433411","20.11.1.4","145200","D","","","0"
"2018","Edmonton, Alberta","2021S0503835","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433411","20.11.1.4","134000","D","","","0"
"2019","Edmonton, Alberta","2021S0503835","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433411","20.11.1.4","99000","E","","","0"
"2020","Edmonton, Alberta","2021S0503835","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433411","20.11.1.4","118400","D","","","0"
"2021","Edmonton, Alberta","2021S0503835","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433411","20.11.1.4","139800","D","","","0"
"2022","Edmonton, Alberta","2021S0503835","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433411","20.11.1.4","112400","C","","","0"
"2023","Edmonton, Alberta","2021S0503835","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433411","20.11.1.4","108400","C","","","0"
"2000","Edmonton, Alberta","2021S0503835","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433591","20.14.1.4","41300","D","","","0"
"2001","Edmonton, Alberta","2021S0503835","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433591","20.14.1.4","43200","D","","","0"
"2002","Edmonton, Alberta","2021S0503835","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433591","20.14.1.4","37000","D","","","0"
"2003","Edmonton, Alberta","2021S0503835","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433591","20.14.1.4","36500","C","","","0"
"2004","Edmonton, Alberta","2021S0503835","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433591","20.14.1.4","39600","C","","","0"
"2005","Edmonton, Alberta","2021S0503835","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433591","20.14.1.4","44400","D","","","0"
"2006","Edmonton, Alberta","2021S0503835","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433591","20.14.1.4","50200","C","","","0"
"2007","Edmonton, Alberta","2021S0503835","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433591","20.14.1.4","57600","D","","","0"
"2008","Edmonton, Alberta","2021S0503835","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433591","20.14.1.4","57800","D","","","0"
"2009","Edmonton, Alberta","2021S0503835","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433591","20.14.1.4","54900","D","","","0"
"2010","Edmonton, Alberta","2021S0503835","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433591","20.14.1.4","60100","D","","","0"
"2011","Edmonton, Alberta","2021S0503835","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433591","20.14.1.4","51100","D","","","0"
"2012","Edmonton, Alberta","2021S0503835","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433591","20.14.1.4","57700","D","","","0"
"2013","Edmonton, Alberta","2021S0503835","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433591","20.14.1.4","58100","E","","","0"
"2014","Edmonton, Alberta","2021S0503835","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433591","20.14.1.4","51600","E","","","0"
"2015","Edmonton, Alberta","2021S0503835","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433591","20.14.1.4","60900","C","","","0"
"2016","Edmonton, Alberta","2021S0503835","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433591","20.14.1.4","55600","D","","","0"
"2017","Edmonton, Alberta","2021S0503835","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433591","20.14.1.4","48400","D","","","0"
"2018","Edmonton, Alberta","2021S0503835","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433591","20.14.1.4","49900","C","","","0"
"2019","Edmonton, Alberta","2021S0503835","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433591","20.14.1.4","47200","D","","","0"
"2020","Edmonton, Alberta","2021S0503835","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433591","20.14.1.4","54000","C","","","0"
"2021","Edmonton, Alberta","2021S0503835","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433591","20.14.1.4","55400","C","","","0"
"2022","Edmonton, Alberta","2021S0503835","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433591","20.14.1.4","56000","B","","","0"
"2023","Edmonton, Alberta","2021S0503835","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96433591","20.14.1.4","52800","C","","","0"
"2000","Vancouver, British Columbia","2021S0503933","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96434011","21.7.1.4","99700","D","","","0"
"2001","Vancouver, British Columbia","2021S0503933","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96434011","21.7.1.4","102700","C","","","0"
"2002","Vancouver, British Columbia","2021S0503933","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96434011","21.7.1.4","100000","C","","","0"
"2003","Vancouver, British Columbia","2021S0503933","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96434011","21.7.1.4","104400","C","","","0"
"2004","Vancouver, British Columbia","2021S0503933","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96434011","21.7.1.4","108100","C","","","0"
"2005","Vancouver, British Columbia","2021S0503933","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96434011","21.7.1.4","108100","C","","","0"
"2006","Vancouver, British Columbia","2021S0503933","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96434011","21.7.1.4","116700","D","","","0"
"2007","Vancouver, British Columbia","2021S0503933","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96434011","21.7.1.4","101500","D","","","0"
"2008","Vancouver, British Columbia","2021S0503933","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96434011","21.7.1.4","99900","D","","","0"
"2009","Vancouver, British Columbia","2021S0503933","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96434011","21.7.1.4","106400","C","","","0"
"2010","Vancouver, British Columbia","2021S0503933","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96434011","21.7.1.4","103500","D","","","0"
"2011","Vancouver, British Columbia","2021S0503933","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96434011","21.7.1.4","124900","C","","","0"
"2012","Vancouver, British Columbia","2021S0503933","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96434011","21.7.1.4","104900","D","","","0"
"2013","Vancouver, British Columbia","2021S0503933","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96434011","21.7.1.4","108100","D","","","0"
"2014","Vancouver, British Columbia","2021S0503933","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96434011","21.7.1.4","102600","C","","","0"
"2015","Vancouver, British Columbia","2021S0503933","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96434011","21.7.1.4","127700","D","","","0"
"2016","Vancouver, British Columbia","2021S0503933","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96434011","21.7.1.4","110400","C","","","0"
