"REF_DATE","GEO","DGUID","Economic family type","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Montréal, Quebec","2021S0503462","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428971","15.7.1.4","109500","C","","","0"
"2014","Montréal, Quebec","2021S0503462","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428971","15.7.1.4","103500","C","","","0"
"2015","Montréal, Quebec","2021S0503462","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428971","15.7.1.4","105500","C","","","0"
"2016","Montréal, Quebec","2021S0503462","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428971","15.7.1.4","109700","C","","","0"
"2017","Montréal, Quebec","2021S0503462","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428971","15.7.1.4","95500","C","","","0"
"2018","Montréal, Quebec","2021S0503462","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428971","15.7.1.4","106800","C","","","0"
"2019","Montréal, Quebec","2021S0503462","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428971","15.7.1.4","107900","B","","","0"
"2020","Montréal, Quebec","2021S0503462","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428971","15.7.1.4","117000","C","","","0"
"2021","Montréal, Quebec","2021S0503462","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428971","15.7.1.4","125500","C","","","0"
"2022","Montréal, Quebec","2021S0503462","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428971","15.7.1.4","118600","B","","","0"
"2023","Montréal, Quebec","2021S0503462","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428971","15.7.1.4","117200","B","","","0"
"2000","Montréal, Quebec","2021S0503462","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429031","15.8.1.4","110500","C","","","0"
"2001","Montréal, Quebec","2021S0503462","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429031","15.8.1.4","106300","C","","","0"
"2002","Montréal, Quebec","2021S0503462","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429031","15.8.1.4","112400","C","","","0"
